ID,rating
895537,0
899740,0
55688,0
63728,0
822012,0
781895,0
472806,0
398991,0
633564,0
927509,0
738784,0
945753,0
964568,0
42051,0
907417,0
127785,0
52983,0
126582,0
523698,0
775403,0
962723,0
791921,0
302969,0
513059,0
233825,0
860044,0
469593,0
859534,0
8470,0
60792,0
529767,0
60478,0
404913,0
334920,0
333142,0
958354,0
555440,0
301053,0
675206,0
814193,0
643881,0
457204,0
963331,0
42348,0
143585,0
758223,0
242198,0
805765,0
204308,0
890182,0
194751,0
156184,0
912504,0
463624,0
653123,0
769980,0
480513,0
589458,0
900751,0
811659,0
733117,0
516698,0
698487,0
953070,0
628535,0
992428,0
138172,0
650242,0
591000,0
331459,0
107546,0
134553,0
178555,0
902752,0
944867,0
100637,0
436056,0
189971,0
632064,0
735282,0
52968,0
152617,0
12823,0
661005,0
229819,0
253250,0
993994,0
662863,0
210445,0
963237,0
220904,0
396428,0
128590,0
495682,0
55946,0
738983,0
549092,0
961096,0
406976,0
864682,0
485110,0
734272,0
515090,0
898479,0
588958,0
510370,0
866701,0
849690,0
216959,0
113886,0
475763,0
544871,0
935002,0
659905,0
770827,0
88049,0
600139,0
31619,0
691363,0
265682,0
838170,0
80823,0
786080,0
549720,0
102093,0
977812,0
571278,0
158454,0
920575,0
665669,0
739076,0
1173,0
903697,0
955068,0
730705,0
737625,0
804058,0
909107,0
875074,0
895039,0
2086,0
638626,0
164988,0
846888,0
203924,0
124094,0
543430,0
656585,0
188923,0
678663,0
487069,0
166949,0
99806,0
62518,0
325235,0
330587,0
132017,0
696524,0
323539,0
756163,0
61159,0
449522,0
24024,0
192267,0
679117,0
396648,0
229731,0
32124,0
599708,0
399735,0
935946,0
116603,0
247869,0
118299,0
556555,0
674526,0
890969,0
458561,0
282108,0
711613,0
290246,0
928061,0
531840,0
628418,0
202063,0
927458,0
105356,0
621943,0
907065,0
339395,0
140019,0
644792,0
618961,0
691437,0
913654,0
756017,0
968257,0
486252,0
717925,0
80803,0
951519,0
926357,0
792061,0
862155,0
332109,0
154579,0
818809,0
925074,0
427835,0
709053,0
942248,0
129537,0
543714,0
569567,0
771777,0
231342,0
734332,0
546004,0
