"","rules","support","confidence","lift","variables"
"1","{yogurt} => {cream cheese }",0.0124046771733604,0.0889212827988338,2.24241234955521,"yogurt"
"2","{yogurt} => {frozen vegetables}",0.0124046771733604,0.0889212827988338,1.84892350174742,"yogurt"
"3","{yogurt} => {beef}",0.0116929334011185,0.0838192419825073,1.59760124980225,"yogurt"
"4","{yogurt} => {curd}",0.0172852058973055,0.123906705539359,2.32561536064808,"yogurt"
"5","{yogurt} => {napkins}",0.0123029994916116,0.0881924198250729,1.68421834753319,"yogurt"
"6","{yogurt} => {frankfurter}",0.0111845449923742,0.0801749271137026,1.35951794510908,"yogurt"
"7","{yogurt} => {brown bread}",0.0145399084900864,0.104227405247813,1.606703026038,"yogurt"
"8","{yogurt} => {margarine}",0.0142348754448399,0.102040816326531,1.74231150793651,"yogurt"
"9","{yogurt} => {butter}",0.0146415861718353,0.104956268221574,1.89402733570492,"yogurt"
"10","{yogurt} => {newspapers}",0.0153533299440773,0.110058309037901,1.37888340049396,"yogurt"
"11","{yogurt} => {domestic eggs}",0.0143365531265887,0.102769679300292,1.61977531397174,"yogurt"
"12","{yogurt} => {fruit/vegetable juice}",0.0187086934417895,0.134110787172012,1.85510491116278,"yogurt"
"13","{yogurt} => {whipped/sour cream}",0.0207422470767667,0.14868804664723,2.07425097698654,"yogurt"
"14","{yogurt} => {pip fruit}",0.0179969496695475,0.129008746355685,1.70537771560237,"yogurt"
"15","{yogurt} => {pastry}",0.017691916624301,0.126822157434402,1.42548104956268,"yogurt"
"16","{yogurt} => {citrus fruit}",0.0216573462125064,0.155247813411079,1.87575214360929,"yogurt"
"17","{yogurt} => {shopping bags}",0.0152516522623284,0.10932944606414,1.10965438807102,"yogurt"
"18","{yogurt} => {sausage}",0.0196237925775292,0.14067055393586,1.49728885060518,"yogurt"
"19","{yogurt} => {bottled water}",0.0229791560752415,0.164723032069971,1.49038732328258,"yogurt"
"20","{yogurt} => {tropical fruit}",0.0292831723436706,0.209912536443149,2.00047460844803,"yogurt"
"21","{yogurt} => {root vegetables}",0.0258261311642095,0.185131195335277,1.69847509899482,"yogurt"
"22","{yogurt} => {soda}",0.0273512963904423,0.196064139941691,1.12436782293092,"yogurt"
"23","{yogurt} => {rolls/buns}",0.0343670564311134,0.246355685131195,1.33936327433129,"yogurt"
