"","rules","support","confidence","lift","variables"
"1","{10010303 - Herringbone Parlour Euroclass 800} => {10030101 - Oil Vane Style Pump}",0.00113049095607235,0.636363636363636,42.8300395256917,"10030101 - Oil Vane Style Pump"
"2","{50500601 - Support posts} => {10030101 - Oil Vane Style Pump}",0.00129198966408269,0.275862068965517,18.5667166416792,"10030101 - Oil Vane Style Pump"
"3","{20060201 - Concentrate Feeders for Calfs} => {10030101 - Oil Vane Style Pump}",0.00145348837209302,0.409090909090909,27.5335968379447,"10030101 - Oil Vane Style Pump"
"4","{10010801 - Milking Parlour Raceway} => {10030101 - Oil Vane Style Pump}",0.00113049095607235,0.7,47.1130434782609,"10030101 - Oil Vane Style Pump"
"5","{10010302 - Herringbone Parlour Euroclass 1200} => {10030101 - Oil Vane Style Pump}",0.00113049095607235,0.466666666666667,31.4086956521739,"10030101 - Oil Vane Style Pump"
"6","{10060201 - Fresh Air Pulsation} => {10030101 - Oil Vane Style Pump}",0.00129198966408269,1,67.304347826087,"10030101 - Oil Vane Style Pump"
"7","{20060101 - In Parlour Feeding for Cows} => {10030101 - Oil Vane Style Pump}",0.0017764857881137,0.6875,46.2717391304348,"10030101 - Oil Vane Style Pump"
"8","{81069999 - Pulsation general/others} => {10030101 - Oil Vane Style Pump}",0.00161498708010336,0.714285714285714,48.0745341614907,"10030101 - Oil Vane Style Pump"
"9","{10010804 - Milking Parlour Curbs and Grates} => {10030101 - Oil Vane Style Pump}",0.00129198966408269,0.666666666666667,44.8695652173913,"10030101 - Oil Vane Style Pump"
"10","{20010402 - VPU Processing Unit with software} => {10030101 - Oil Vane Style Pump}",0.0017764857881137,0.647058823529412,43.5498721227622,"10030101 - Oil Vane Style Pump"
"11","{80018001 - Compressed Air Fittings} => {10030101 - Oil Vane Style Pump}",0.00113049095607235,0.269230769230769,18.1204013377926,"10030101 - Oil Vane Style Pump"
"12","{10010504 - DairyProQ M-Line} => {10030101 - Oil Vane Style Pump}",0.00209948320413437,0.419354838709677,28.2244039270687,"10030101 - Oil Vane Style Pump"
"13","{10040404 - Milk Line Packages} => {10030101 - Oil Vane Style Pump}",0.0017764857881137,1,67.304347826087,"10030101 - Oil Vane Style Pump"
"14","{10040501 - Accessories Milk Lines Plastic} => {10030101 - Oil Vane Style Pump}",0.0017764857881137,0.785714285714286,52.8819875776397,"10030101 - Oil Vane Style Pump"
"15","{81078099 - Cluster Posit. Fixing/Fitting general/others} => {10030101 - Oil Vane Style Pump}",0.0017764857881137,0.44,29.6139130434783,"10030101 - Oil Vane Style Pump"
"16","{95030101 - Poster} => {10030101 - Oil Vane Style Pump}",0.00322997416020672,0.952380952380952,64.0993788819876,"10030101 - Oil Vane Style Pump"
"17","{10031001 - Vacuum Technology diverse attachment parts} => {10030101 - Oil Vane Style Pump}",0.00355297157622739,0.956521739130435,64.3780718336484,"10030101 - Oil Vane Style Pump"
"18","{82025102 - Network Electronic DPNet-Network} => {10030101 - Oil Vane Style Pump}",0.00113049095607235,0.170731707317073,11.49098621421,"10030101 - Oil Vane Style Pump"
"19","{10060102 - Pulsators (electric) without Stimulation} => {10030101 - Oil Vane Style Pump}",0.00242248062015504,0.576923076923077,38.8294314381271,"10030101 - Oil Vane Style Pump"
"20","{83010299 - Milk Outlet Equipment} => {10030101 - Oil Vane Style Pump}",0.00242248062015504,0.254237288135593,17.1112748710391,"10030101 - Oil Vane Style Pump"
"21","{82078001 - Attachment Parts Selection for Cows} => {10030101 - Oil Vane Style Pump}",0.00355297157622739,0.709677419354839,47.7643758765778,"10030101 - Oil Vane Style Pump"
"22","{95110101 - Sticker / Warning Labels / Signs Milking Systems} => {10030101 - Oil Vane Style Pump}",0.00290697674418605,0.818181818181818,55.0671936758893,"10030101 - Oil Vane Style Pump"
"23","{80906201 - Global/unspecific Parts PVC Hoses} => {10030101 - Oil Vane Style Pump}",0.00290697674418605,0.4,26.9217391304348,"10030101 - Oil Vane Style Pump"
"24","{80016299 - Compressed Air PVC/Plastic Parts general/others} => {10030101 - Oil Vane Style Pump}",0.00258397932816537,0.307692307692308,20.7090301003344,"10030101 - Oil Vane Style Pump"
"25","{81030106 - Vacuum Technology RPS Pump Parts general} => {10030101 - Oil Vane Style Pump}",0.00113049095607235,0.12280701754386,8.26544622425629,"10030101 - Oil Vane Style Pump"
"26","{10040403 - Milk Pipe Stainless Steel Inch} => {10030101 - Oil Vane Style Pump}",0.00436046511627907,0.818181818181818,55.0671936758893,"10030101 - Oil Vane Style Pump"
"27","{10040105 - Milk Receiver  Vessel and Traps} => {10030101 - Oil Vane Style Pump}",0.00322997416020672,0.909090909090909,61.1857707509881,"10030101 - Oil Vane Style Pump"
"28","{10040104 - Milk Receiver diverse attachment parts} => {10030101 - Oil Vane Style Pump}",0.0022609819121447,0.56,37.6904347826087,"10030101 - Oil Vane Style Pump"
"29","{82068001 - Feeding Attachment Parts for Cows in Parlours/Rota} => {10030101 - Oil Vane Style Pump}",0.00193798449612403,0.235294117647059,15.8363171355499,"10030101 - Oil Vane Style Pump"
"30","{10060101 - Pulsators (electric) with Stimulation} => {10030101 - Oil Vane Style Pump}",0.00306847545219638,0.703703703703704,47.3623188405797,"10030101 - Oil Vane Style Pump"
"31","{82055001 - Milking Management Automatic Change Over Milking/C} => {10030101 - Oil Vane Style Pump}",0.00306847545219638,0.730769230769231,49.1839464882943,"10030101 - Oil Vane Style Pump"
"32","{95080101 - Gifts / Presents} => {10030101 - Oil Vane Style Pump}",0.00258397932816537,0.615384615384615,41.4180602006689,"10030101 - Oil Vane Style Pump"
"33","{80015099 - Compressed Air Electro general/general/others} => {10030101 - Oil Vane Style Pump}",0.00145348837209302,0.116883116883117,7.86674195369848,"10030101 - Oil Vane Style Pump"
"34","{10080301 - Tack-Off Cylinder} => {10030101 - Oil Vane Style Pump}",0.00322997416020672,0.740740740740741,49.8550724637681,"10030101 - Oil Vane Style Pump"
"35","{20040302 - UHF 433 MHz Identification System} => {10030101 - Oil Vane Style Pump}",0.00355297157622739,0.478260869565217,32.1890359168242,"10030101 - Oil Vane Style Pump"
"36","{10010805 - Milking Parlour Gate (without DPNet)} => {10030101 - Oil Vane Style Pump}",0.00193798449612403,0.352941176470588,23.7544757033248,"10030101 - Oil Vane Style Pump"
"37","{80908002 - Global/unspecific Brackets / Plates / Flat Steels } => {10030101 - Oil Vane Style Pump}",0.00355297157622739,0.4,26.9217391304348,"10030101 - Oil Vane Style Pump"
"38","{80908099 - Global/unspecific Fixings/Fittings others} => {10030101 - Oil Vane Style Pump}",0.00306847545219638,0.542857142857143,36.5366459627329,"10030101 - Oil Vane Style Pump"
"39","{20060102 - Free Stall Feeders Cows} => {10030101 - Oil Vane Style Pump}",0.00339147286821705,0.375,25.2391304347826,"10030101 - Oil Vane Style Pump"
"40","{10040401 - Milk Pipe Plastic} => {10030101 - Oil Vane Style Pump}",0.00322997416020672,0.869565217391304,58.5255198487713,"10030101 - Oil Vane Style Pump"
"41","{81048099 - Milk Handling Fixing/Fitting Parts general/others} => {10030101 - Oil Vane Style Pump}",0.00306847545219638,0.404255319148936,27.2081406105458,"10030101 - Oil Vane Style Pump"
"42","{30050102 - PK Plate Cooler} => {10030101 - Oil Vane Style Pump}",0.00419896640826873,0.509803921568627,34.3120204603581,"10030101 - Oil Vane Style Pump"
"43","{82068002 - Feeding Attachment Parts Boxes for Cows in Stanchi} => {10030101 - Oil Vane Style Pump}",0.0017764857881137,0.144736842105263,9.74141876430206,"10030101 - Oil Vane Style Pump"
"44","{81010102 - Milking System - parallel} => {10030101 - Oil Vane Style Pump}",0.00387596899224806,0.857142857142857,57.6894409937888,"10030101 - Oil Vane Style Pump"
"45","{10091101 - IQ} => {10030101 - Oil Vane Style Pump}",0.0022609819121447,0.297872340425532,20.0481036077706,"10030101 - Oil Vane Style Pump"
"46","{83999999 - Cooling Parts general/others} => {10030101 - Oil Vane Style Pump}",0.00274547803617571,0.217948717948718,14.6688963210702,"10030101 - Oil Vane Style Pump"
"47","{10050201 - CIP Units for Cows} => {10030101 - Oil Vane Style Pump}",0.00306847545219638,0.395833333333333,26.6413043478261,"10030101 - Oil Vane Style Pump"
"48","{20070101 - Parlour Selection for Cows} => {10030101 - Oil Vane Style Pump}",0.00565245478036176,0.760869565217391,51.2098298676749,"10030101 - Oil Vane Style Pump"
"49","{20070102 - Selection AMS for Cows} => {10030101 - Oil Vane Style Pump}",0.00565245478036176,0.573770491803279,38.6172487526728,"10030101 - Oil Vane Style Pump"
"50","{80905007 - Global/unspecific Electronic Parts Installation Ma} => {10030101 - Oil Vane Style Pump}",0.00355297157622739,0.140127388535032,9.43118249792301,"10030101 - Oil Vane Style Pump"
"51","{10010503 - Mione} => {10030101 - Oil Vane Style Pump}",0.00419896640826873,0.236363636363636,15.9083003952569,"10030101 - Oil Vane Style Pump"
"52","{81036199 - Vacuum Technology Rubber general/others} => {10030101 - Oil Vane Style Pump}",0.00452196382428941,0.5,33.6521739130435,"10030101 - Oil Vane Style Pump"
"53","{81019999 - Milking System general/others} => {10030101 - Oil Vane Style Pump}",0.00274547803617571,0.257575757575758,17.3359683794466,"10030101 - Oil Vane Style Pump"
"54","{10050106 - Air Injector} => {10030101 - Oil Vane Style Pump}",0.00436046511627907,0.84375,56.7880434782609,"10030101 - Oil Vane Style Pump"
