"Id","Sales"
1,4174.31409245283
857,4454.65510514524
1713,4940.96848045901
2569,4976.84640816514
3425,0
4281,4211.59674816701
5137,3702.15628300916
5993,3762.0368620125
6849,3672.79359199321
7705,3563.71130209126
8561,4179.10386561609
9417,0
10273,4211.59674816701
11129,4743.57689202064
11985,4444.77299055445
12841,4827.30745898937
13697,5064.32600326706
14553,5991.79411428246
15409,0
16265,4349.05639332813
17121,3991.3691371667
17977,3774.76272980158
18833,3820.49092439488
19689,3886.26224514858
20545,4324.19665116728
21401,0
22257,4349.05639332813
23113,4869.30185967722
23969,4480.23518940666
24825,4741.68681503797
25681,5191.34052246455
26537,5991.79411428246
27393,0
28249,4349.05639332813
29105,3991.3691371667
29961,3774.76272980158
30817,3820.49092439488
31673,3886.26224514858
32529,4324.19665116728
33385,0
34241,4349.05639332813
35097,4869.30185967722
35953,4480.23518940666
36809,4741.68681503797
37665,5191.34052246455
38521,5991.79411428246
39377,0
40233,4349.05639332813
2,7738.44054113784
858,8097.66256980528
1714,9299.76296559773
2570,9554.7960337928
3426,0
4282,3778.84757922295
5138,5420.35903051722
5994,5226.99502436967
6850,5177.89352068106
7706,5454.90586100553
8562,5827.6862631097
9418,0
10274,3778.84757922295
11130,7650.08778834725
11986,7738.44054113784
12842,8097.66256980528
13698,9299.76296559773
14554,9554.7960337928
15410,0
16266,3724.25671276174
17122,5744.11623798441
17978,5351.12698736802
18834,5235.6455641455
19690,5396.19577175932
20546,6343.57233924088
21402,0
22258,3724.25671276174
23114,7408.75598894329
23970,7478.65609192002
24826,7785.53169206168
25682,8922.48412030667
26538,9554.7960337928
27394,0
28250,3724.25671276174
29106,5744.11623798441
29962,5351.12698736802
30818,5235.6455641455
31674,5743.11586520422
32530,6198.52996430814
33386,0
34242,3724.25671276174
35098,7627.52195959237
35954,7675.45275039148
36810,7905.39909763419
37666,8498.74046781034
38522,9499.9527111127
39378,0
40234,3724.25671276174
3,9148.43903988378
859,9054.28997008134
1715,10260.552468664
2571,12124.5869164815
3427,0
4283,6313.22065903012
5139,7664.68550253657
5995,6988.96371499172
6851,7132.3937453953
7707,7292.45442395016
8563,7848.44650527138
9419,0
10275,6313.22065903012
11131,9554.86529373489
11987,9148.43903988378
12843,9054.28997008134
13699,10260.552468664
14555,12100.6767986495
15411,0
16267,6407.66967934068
17123,8250.62709687536
